,year,descripcion,Combustible:,Cilindrada:,Transmisión:,Estilo:,Color Exterior:,Color Interior:,Placa:,Provincia:
0,1994,Geo PRIZM • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,BEIGE,GRIS,Termina en 1,San José
0,2000,Nissan ALTIMA • 5 Pas.,Gasolina,2400 cc,Automática,Sedán,BLANCO,BEIGE,Termina en 2,Alajuela
0,1993,Toyota TERCEL • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,AZUL,NEGRO,Termina en 5,San José
0,1984,Toyota TERCEL • 5 Pas.,Gasolina,1500 cc,Manual,Station Wagon,BEIS,GRIS NEGRO,Termina en 9,San José
0,2005,Hyundai ELANTRA • 5 Pas.,Diesel,2000 cc,Manual,Sedán,ROJO,GRIS,Termina en 4,Heredia
0,1999,Mazda PROTEGE • 5 Pas.,Gasolina,1800 cc,Manual,Sedán,ROJO,GRIS,Termina en 3,San José
0,1991,Toyota COROLLA • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,VINO,GRIS,Termina en 8,Alajuela
0,1991,Toyota TERCEL • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,BLANCO,NEGRO,Termina en 9,Puntarenas
0,1994,Pontiac SUNBIRD • 4 Pas.,Gasolina,2000 cc,Automática,Sedán,CELESTE,NEGRO,Termina en 6,San José
0,1990,Geo TRACKER • 4 Pas.,Gasolina,1600 cc,Manual,Todo Terreno 4x4,CELESTE,GRIS,Termina en 2,Heredia
0,1992,Toyota TERCEL • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,BLANCO,NEGRO,Termina en 5,Cartago
0,1997,Geo METRO • 5 Pas.,Gasolina,1000 cc,Manual,Sedán,NEGRO,GRIS,Termina en 2,San José
0,1979,Toyota COROLLA • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,ANARANJADO,NEGRO,Termina en 8,Heredia
0,2003,Hyundai ACCENT • 5 Pas.,Gasolina,1600 cc,Automática,Sedán,AZUL,GRIS,Termina en 8,San José
0,1990,Toyota COROLLA • 5 Pas.,Gasolina,1600 cc,Automática,Sedán,VINO,GRIS,Termina en 7,Heredia
0,1994,Geo TRACKER • 4 Pas.,Gasolina,1600 cc,Manual,Todo Terreno 4x2,NEGRO,NEGRO,Termina en 4,San José
0,1996,Honda CIVIC • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,GRIS,GRIS,Termina en 8,San José
0,2003,Renault CLIO SPORT • 5 Pas.,Gasolina,2000 cc,Manual,Hatchback,ROJO,NEGRO,Termina en 1,Heredia
0,1986,Toyota COROLLA • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,CAFÉ,CAFÉ,Termina en 2,San José
0,1998,Suzuki SWIFT • 4 Pas.,Gasolina,1300 cc,Automática,Sedán,AZUL,GRIS,Termina en 5,Puntarenas
0,1995,Honda CIVIC • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,AZUL MARINO,BEIGE,Termina en 7,Cartago
0,2001,Kia RIO • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,GRIS,NEGRO Y GRIS,Termina en 5,San José
0,2007,Peugeot 206 BERLINA • 5 Pas.,Gasolina,1600 cc,Automática,Hatchback,AZUL,NEGRO,Termina en 8,Guanacaste
0,2000,Hyundai ACCENT • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,BLANCO,GRIS,Termina en 2,San José
0,1990,Volvo 760 TDI • 5 Pas.,Gasolina,2300 cc,Automática,Sedán,VINO,BEIGE,Termina en 7,San José
0,1993,Toyota COROLLA • 5 Pas.,Gasolina,1800 cc,Manual,Station Wagon,BLANCO,NEGRO,ND,Heredia
0,2003,Peugeot 206 • 5 Pas.,Gasolina,1400 cc,Manual,Sedán,AZUL,AZUL Y GRIS,Termina en 3,Alajuela
0,1998,Nissan SENTRA • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,NEGRO,NEGRO,Termina en 2,Alajuela
0,1994,Kia SPORTAGE • 5 Pas.,Gasolina,2000 cc,Manual,Todo Terreno 4x4,VERDE,GRIS,Termina en 8,Cartago
0,2003,Peugeot 307 XS • 5 Pas.,Gasolina,1600 cc,Manual,Station Wagon,ROJO,GRIS,Termina en 2,Alajuela
0,1998,Volkswagen VENTO • 5 Pas.,Gasolina,2000 cc,Manual,Sedán,AZUL,NEGRO,Termina en 8,Alajuela
0,1995,Geo PRIZM • 5 Pas.,Diesel,2000 cc,Manual,Sedán,ROJO,NEGRO,Termina en 7,Alajuela
0,1994,Geo TRACKER • 5 Pas.,Gasolina,1600 cc,Manual,Todo Terreno 4x2,VERDE OSCURO,GRIS,Termina en 6,Alajuela
0,2005,Mahindra SCORPIO • 8 Pas.,Diesel,2600 cc,Manual,Todo Terreno 4x4,GRIS,NEGRO,Termina en 6,Alajuela
0,1995,Honda CIVIC LX • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,AZUL,BEIGE,Termina en 8,San José
0,1998,Mitsubishi LANCER • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,VERDE,GRIS,Termina en 3,Cartago
0,1993,Toyota COROLLA • 5 Pas.,Gasolina,1600 cc,Automática,Sedán,DORADO,GRIS,Termina en 4,Cartago
0,2005,Fiat FIORINO • 2 Pas.,Gasolina,1300 cc,Manual,Pánel,BLANCO,GRIS,Termina en 7,San José
0,1995,Nissan SENTRA • 5 Pas.,Gasolina,1600 cc,Automática,Sedán,GRIS,GRIS,Termina en 4,Alajuela
0,1995,Nissan 200SX • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,VERDE,NEGRO,Termina en 1,San José
0,2000,Suzuki SWIFT • 5 Pas.,Gasolina,1300 cc,Manual,Hatchback,PLATEADO,GRIS,Termina en 4,Cartago
0,2010,Lifan 320 • 5 Pas.,Gasolina,1300 cc,Manual,Hatchback,GRIS,BEIGE,Termina en 3,Puntarenas
0,1990,Toyota COROLLA • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,BLANCO,GRIS,Termina en 7,Alajuela
0,1999,Subaru FORESTER • 5 Pas.,Gasolina,2000 cc,Manual,Todo Terreno 4x4,GRIS,GRIS,Termina en 5,Guanacaste
0,2002,Peugeot 206 • 5 Pas.,Gasolina,1600 cc,Manual,Hatchback,VERDE,NEGRO,Termina en 3,San José
0,1989,Isuzu KB • 2 Pas.,Gasolina,2300 cc,Manual,Pickup 4x2,BLANCO,CELESTE,Termina en 3,San José
0,1997,Mitsubishi MIRAGE • 5 Pas.,Gasolina,1800 cc,Manual,Sedán,BLANCO,BEIGE,Termina en 9,Cartago
