,year,descripcion,Combustible:,Cilindrada:,Transmisión:,Estilo:,Color Exterior:,Color Interior:,Placa:,Provincia:
0,1991,Mitsubishi MIGHTY MAX • 3 Pas.,Gasolina,2000 cc,Manual,Pickup 4x2,AZUL,NEGRO,Termina en 8,Alajuela
0,1994,Jeep GRAND CHEROKEE LAREDO • 5 Pas.,Híbrido,4000 cc,Automática,Todo Terreno 4x2,GRIS,GRIS,Termina en 3,Limón
0,2008,Chevrolet SPARK • 5 Pas.,Gasolina,1100 cc,Manual,Hatchback,BLANCO,GRIS,Termina en 6,San José
0,2007,Suzuki ALTO • 4 Pas.,Gasolina,800 cc,Manual,Sedán,GRIS,GRIS,Termina en 4,San José
0,2011,Renault SANDERO • 5 Pas.,Gasolina,1600 cc,Manual,Hatchback,BLANCO,NEGRO,Termina en 7,Alajuela
0,2003,Renault CLIO • 5 Pas.,Gasolina,1400 cc,Automática,Hatchback,VERDE,AZUL,Termina en 4,San José
0,1998,Honda CIVIC • 5 Pas.,Gasolina,1600 cc,Manual,Hatchback,BLANCO,GRIS,Termina en 7,Cartago
0,1998,Honda ACCORD • 5 Pas.,Gasolina,2300 cc,Automática,Sedán,VERDE,BEIGE,Termina en 8,San José
0,2010,Chevrolet SPARK • 5 Pas.,Gasolina,1000 cc,Manual,Hatchback,GRIS,NEGRO,Termina en 1,Cartago
0,2005,Chevrolet AVEO LS • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,NEGRO,GRIS,Termina en 7,San José
0,1999,Hyundai STAREX • 10 Pas.,Gasolina,2600 cc,Manual,Microbús/Minivan,CAFÉ CLARO,NEGRO,Termina en 0,Heredia
0,1993,Toyota COROLLA • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,CHAMPAGNE,GRIS,Termina en 1,Cartago
0,2002,Mazda PROTEGE • 5 Pas.,Gasolina,2000 cc,Manual,Sedán,BEIGE,BEIGE,Termina en 9,Alajuela
0,2002,Mitsubishi LANCER • 5 Pas.,Gasolina,2000 cc,Automática,Sedán,BLANCO,GRIS,Termina en 0,Cartago
0,1999,Nissan SENTRA • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,GRIS PLATEADO,NEGRO,Termina en 0,Alajuela
0,2011,Fiat FIORINO • 2 Pas.,Gasolina,1300 cc,Manual,Pánel,BLANCO,GRIS,Termina en 0,San José
0,2012,JAC J2 • 5 Pas.,Gasolina,1000 cc,Manual,Hatchback,NEGRO,GRIS,Termina en 6,Puntarenas
0,2009,Renault MEGANE • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,VERDE,VERDE,Termina en,San José
0,2011,Toyota YARIS • 5 Pas.,Gasolina,1300 cc,Manual,Hatchback,DORADO,NEGRO,Termina en 5,San José
0,2000,Honda ODYSSEY • 8 Pas.,Gasolina,3500 cc,Automática,Microbús/Minivan,GRIS,GRIS,Termina en 4,San José
0,2004,Suzuki AERIO • 5 Pas.,Gasolina,1600 cc,Manual,Station Wagon,BLANCO,NEGRO,ND,Cartago
0,2006,Daihatsu CHARADE • 5 Pas.,Gasolina,1000 cc,Manual,Hatchback,GRIS,NEGRO,Termina en 5,San José
0,2012,Citroen C3 • 5 Pas.,Gasolina,1360 cc,Manual,Hatchback,GRIS,GRIS,Termina en 5,Guanacaste
0,2008,Fiat IDEA HLX • 5 Pas.,Gasolina,1800 cc,Manual,Hatchback,GRIS,GRIS,Termina en 0,San José
0,2009,Suzuki ALTO • 5 Pas.,Gasolina,800 cc,Manual,Hatchback,ROJO,GRIS,Termina en 3,Cartago
0,1989,Nissan 720 • 2 Pas.,Diesel,2500 cc,Manual,Pickup 4x2,BEIZ,CAFE,Termina en 8,San José
0,1977,Datsun 120Y • 2 Pas.,Gasolina,1200 cc,Manual,Pickup 4x2,BEIGE,BEIGE,Termina en 0,Cartago
0,1998,Toyota COROLLA • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,VERDE,GRIS,Termina en,Cartago
0,1987,Suzuki SAMURAI • 4 Pas.,Gasolina,1300 cc,Manual,Todo Terreno 4x4,BEIGE,NEGRO,Termina en 8,Alajuela
0,1989,Suzuki SIDEKICK • 5 Pas.,Gasolina,1600 cc,Manual,Todo Terreno 4x4,GRIS,GRIS,Termina en 7,Heredia
0,1998,Honda CIVIC • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,BLANCO,GRIS,Termina en 6,San José
0,2005,Chevrolet AVEO • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,AZUL,GRIS,Termina en 6,Alajuela
0,2003,Hyundai ELANTRA • 5 Pas.,Gasolina,2000 cc,Automática,Sedán,GRIS PLATA,GRIS,Termina en 7,San José
0,2003,Hyundai ELANTRA • 5 Pas.,Gasolina,2000 cc,Manual,Sedán,GRIS,NEGRO,Termina en 3,Alajuela
0,2008,Nissan PLATINA • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,GRIS,GRIS,Termina en 9,Guanacaste
0,1994,Suzuki SIDEKICK • 5 Pas.,Gasolina,1600 cc,Manual,Todo Terreno 4x4,AZUL,NEGRO,Termina en 3,Guanacaste
0,1991,Toyota TERCEL • 5 Pas.,Gasolina,1300 cc,Manual,Hatchback,GRIS,NEGRO,Termina en 8,Alajuela
0,2001,Honda ACCORD EX • 5 Pas.,Gasolina,2200 cc,Automática,Sedán,CHAMPAGNE,CHAMPAGNE,Termina en 3,Alajuela
0,1999,Chevrolet TRACKER • 4 Pas.,Gasolina,1600 cc,Manual,Todo Terreno 4x4,VINO,GRIS,Termina en 4,San José
0,1996,Mitsubishi ECLIPSE • 4 Pas.,Gasolina,2000 cc,Manual,Sedán,NEGRO,GRIS,Termina en 5,Heredia
0,1996,Land Rover DISCOVERY V8 • 7 Pas.,Híbrido,3900 cc,Manual,Todo Terreno 4x4,GRIS,GRIS,Termina en 7,Alajuela
0,1990,Daihatsu ROCKY • 4 Pas.,Gasolina,1600 cc,Manual,Todo Terreno 4x4,VINO,VINO,Termina en 6,Cartago
0,2009,Suzuki ALTO • 5 Pas.,Gasolina,800 cc,Manual,Sedán,GRIS,GRIS,Termina en 1,Heredia
0,1991,Suzuki SIDEKICK • 5 Pas.,Gasolina,1600 cc,Manual,Todo Terreno 4x4,GRIS,NEGRO,Termina en 2,Cartago
0,2000,Honda CIVIC • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,VERDE PERLADO,CAFE,Termina en 5,San José
0,2003,Volkswagen POLO • 5 Pas.,Gasolina,1600 cc,Manual,Hatchback,GRIS,GRIS,Termina en 0,Alajuela
0,2001,Honda CIVIC • 5 Pas.,Gasolina,1700 cc,Manual,Sedán,GRIS,NEGRO,Termina en 3,Puntarenas
0,1990,Nissan D21 • 3 Pas.,Diesel,2700 cc,Manual,Pickup 4x2,NEGRO,NEGRO,Termina en 7,Limón
0,1993,Suzuki SIDEKICK • 4 Pas.,Gasolina,1600 cc,Manual,Todo Terreno 4x4,VINO,NEGRO,Termina en 1,Cartago
0,1993,Suzuki SIDEKICK • 5 Pas.,Gasolina,1600 cc,Automática,Todo Terreno 4x4,ROJO,NEGRO,ND,San José
0,2003,Volkswagen JETTA • 5 Pas.,Gasolina,1800 cc,Automática,Sedán,AZUL NOCHE,GRIS,Termina en 8,San José
0,1998,Nissan SENTRA B14 • 5 Pas.,Gasolina,1600 cc,Automática,Sedán,CHAMPAGNE,BEIGE,Termina en 2,Limón
0,2001,Honda CIVIC LX COUPE • 5 Pas.,Gasolina,1700 cc,Manual,Sedán,BLANCO,NEGRO,Termina en 4,Guanacaste
0,2004,Hyundai ELANTRA • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,DORADO,GRIS,Termina en 6,Alajuela
0,2002,Chevrolet TRACKER • 5 Pas.,Gasolina,1600 cc,Manual,Todo Terreno 4x2,GRIS Y NEGRO,GRIS,Termina en 6,Limón
0,1994,BMW 318IS • 5 Pas.,Gasolina,1800 cc,Manual,Sedán,ROJO,NEGRO,Termina en 6,San José
0,2007,Kia CERATO • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,BIEGE,BEIGE,Termina en 3,Cartago
0,1997,Mazda 323 GT • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,AZUL,GRIS OSCURO,Termina en 4,Cartago
0,1996,Toyota RAV4 • 4 Pas.,Gasolina,2000 cc,Manual,Todo Terreno 4x2,AZUL,GRIS,Termina en 8,San José
0,2004,Nissan ALMERA • 5 Pas.,Gasolina,1600 cc,Automática,Sedán,MARRON,GRIS,Termina en 6,Heredia
0,1997,Suzuki SIDEKICK • 5 Pas.,Gasolina,1600 cc,Manual,Todo Terreno 4x4,VERDE OSCURO,GRIS,Termina en 5,San José
0,2001,Hyundai ELANTRA • 5 Pas.,Gasolina,2000 cc,Manual,Sedán,NEGRO,GRIS,Termina en 4,Heredia
0,2005,Nissan ALMERA • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,AZUL,GRIS,Termina en 7,San José
0,2001,Hyundai SANTA FE • 5 Pas.,Gasolina,2400 cc,Automática,Todo Terreno 4x2,BLANCO,GRIS,Termina en 5,Alajuela
0,2007,Peugeot 206 PREMIUM • 5 Pas.,Diesel,1900 cc,Manual,Hatchback,AZUL,NEGRO,Termina en 7,San José
0,2008,Renault MEGANE • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,CHAMPAGNE,NEGRO-GRIS,Termina en 8,San José
0,1997,Honda CIVIC • 5 Pas.,Gasolina,1600 cc,Manual,Sedán,VERDE,CAFÉ,Termina en 5,Heredia
0,2000,Volkswagen JETTA • 5 Pas.,Gasolina,2000 cc,Automática,Sedán,GRIS,NEGRO,Termina en 9,Cartago
0,2001,Hyundai STAREX SVX TDI • 10 Pas.,Diesel,2500 cc,Manual,Microbús/Minivan,TURQUEZA,NEGRO,Termina en 4,Alajuela
0,2007,Chevrolet SPARK • 5 Pas.,Gasolina,800 cc,Manual,Hatchback,VERDE,GRIS,Termina en 8,Cartago
0,1988,Jeep CHEROKEE LIMITED • 5 Pas.,Gasolina,4000 cc,Automática,Todo Terreno 4x4,ROJO,GRIS,Termina en 7,Guanacaste
0,2003,Toyota ECHO • 5 Pas.,Gasolina,1500 cc,Manual,Sedán,VINO,GRIS,Termina en 7,Cartago
0,1999,Chevrolet TRACKER • 5 Pas.,Gasolina,1600 cc,Manual,Todo Terreno 4x2,AZUL,GRIS,Termina en 7,San José
0,2002,Honda CIVIC EX • 5 Pas.,Gasolina,1700 cc,Manual,Sedán,GRIS,GRIS,Termina en 0,Alajuela
0,1974,Volkswagen COMBI • 9 Pas.,Gasolina,1600 cc,Manual,Microbús/Minivan,BLANCO,NEGRO,Termina en 3,Cartago
