year,marca,modelo,pasajeros,descripcion,precio,preciodolar,Combustible:,Cilindrada:,Transmisión:,Estilo:,Color Exterior:,Color Interior:,Placa:,Provincia:
1997,Hyundai,EURO ACCENT,5,"['Hyundai', 'EURO', 'ACCENT']",  400000,   752,Gasolina,1300 cc,Manual,Sedán,GRIS,GRIS/NEGRO,Termina en 9,Heredia
1973,Volkswagen,VARIANT,5,"['Volkswagen', 'VARIANT']",  500000,   940,Gasolina,1800 cc,Manual,Station Wagon,AZUL,AZUL,Termina en 7,San José
1987,Nissan,SENTRA B12,5,"['Nissan', 'SENTRA', 'B12']",  580000,  1090,Gasolina,1600 cc,Manual,Sedán,ROJO,GRIS,Termina en 1,Cartago
2001,Hyundai,VERNA,5,"['Hyundai', 'VERNA']",  600000,  1128,Gasolina,1500 cc,Manual,Sedán,BLANCO,NEGRO,Termina en 6,Alajuela
1989,Volvo,360 GL,5,"['Volvo', '360', 'GL']",  600000,  1128,Gasolina,1986 cc,Manual,Sedán,CELESTE,GRIS,Termina en 8,San José
1987,Toyota,CELICA,5,"['Toyota', 'CELICA']",  600000,  1128,Gasolina,2000 cc,Manual,Sedán,AZUL,GRIS,Termina en 2,San José
1997,Mercury,MYSTIQUE,5,"['Mercury', 'MYSTIQUE']",  600000,  1128,Gasolina,2000 cc,Automática,Sedán,BLANCO,GRIS,Termina en 6,San José
1993,Daihatsu,FEROZA,5,"['Daihatsu', 'FEROZA']",  750000,  1410,Gasolina,1500 cc,Manual,Todo Terreno 4x4,VERDE Y GRIS,GRIS,Termina en 8,San José
2002,Ford,TAURUS SES,5,"['Ford', 'TAURUS', 'SES']",  800000,  1504,Gasolina,3000 cc,Automática,Sedán,BLANCO,NEGRO,Termina en 8,San José
1998,Fiat,PUNTO,5,"['Fiat', 'PUNTO']",  800000,  1504,Gasolina,1200 cc,Manual,Hatchback,GRIS,GRIS,Termina en 9,San José
2015,Toyota,COROLLA LE,5,"['Toyota', 'COROLLA', 'LE']",  810000,  1523,Gasolina,1800 cc,Automática,Sedán,GRIS AZULADO,FORRO CUERO,Termina en 1,Alajuela
1999,Plymouth,BREEZE,5,"['Plymouth', 'BREEZE']",  850000,  1598,Gasolina,2000 cc,Automática,Sedán,BEIGE,BEIGE,Termina en 5,Guanacaste
1997,Honda,ACCORD,5,"['Honda', 'ACCORD']",  850000,  1598,Gasolina,2200 cc,Automática,Sedán,DORADO,BEIGE,Termina en 8,San José
1989,Audi,200,5,"['Audi', '200']",  850000,  1598,Gasolina,2200 cc,Automática,Sedán,DORADO,BEIGE,Termina en 2,San José
1989,Mitsubishi,LANCER,5,"['Mitsubishi', 'LANCER']",  950000,  1786,Gasolina,1500 cc,Manual,Sedán,BLANCO,CAFÉ,Termina en 5,Cartago
1993,Hyundai,SONATA,5,"['Hyundai', 'SONATA']", 1000000,  1880,Gasolina,2000 cc,Manual,Sedán,VINO,NEGRO,Termina en 5,Heredia
1993,Kia,SPORTAGE,5,"['Kia', 'SPORTAGE']", 1000000,  1880,Gasolina,2000 cc,Manual,Todo Terreno 4x4,AZUL,NEGRO,Termina en 9,Cartago
1985,Toyota,COROLLA,5,"['Toyota', 'COROLLA']", 1000000,  1880,Gasolina,1500 cc,Manual,Sedán,BLANCO,GRIS,Termina en 0,San José
1992,Nissan,SENTRA,5,"['Nissan', 'SENTRA']", 1000000,  1880,Gasolina,1600 cc,Manual,Sedán,CELESTE,GRIS,Termina en 2,San José
1994,Nissan,MAXIMA,5,"['Nissan', 'MAXIMA']", 1000000,  1880,Gasolina,3000 cc,Automática,Sedán,NEGRO,NEGRO,Termina en 6,Heredia
1988,Toyota,COROLLA,5,"['Toyota', 'COROLLA']", 1000000,  1880,Gasolina,1600 cc,Manual,Sedán,GRIS,GRIS,Termina en 7,Cartago
1991,Toyota,TERCEL,5,"['Toyota', 'TERCEL']", 1100000,  2068,Gasolina,1500 cc,Manual,Sedán,ROJO,BEIGE,Termina en 0,Limón
1995,Daewoo,DAEWOO,5,"['Daewoo', 'DAEWOO']", 1150000,  2162,Gasolina,1500 cc,Manual,Sedán,BLANCO,GRIS,Termina en 6,Cartago
1992,Nissan,SENTRA B13,5,"['Nissan', 'SENTRA', 'B13']", 1200000,  2256,Gasolina,1600 cc,Manual,Sedán,BLANCO,GRIS,Termina en 7,Cartago
2001,Peugeot,PARTNER,5,"['Peugeot', 'PARTNER']", 1200000,  2256,Diesel,1900 cc,Manual,Microbús/Minivan,GRIS,GRIS,Termina en 0,San José
2002,Volkswagen,POLO CLASSIC,5,"['Volkswagen', 'POLO', 'CLASSIC']", 1200000,  2256,Gasolina,1600 cc,Manual,Sedán,AZUL,NEGRO,Termina en 3,San José
1992,Nissan,SENTRA,5,"['Nissan', 'SENTRA']", 1250000,  2350,Gasolina,1600 cc,Manual,Sedán,VERDE,GRIS,Termina en 7,Cartago
1980,Toyota,STARLET,5,"['Toyota', 'STARLET']", 1250000,  2350,Gasolina,1000 cc,Manual,Sedán,VINO,BEIGE,Termina en 4,Heredia
1995,Toyota,CAMRY,5,"['Toyota', 'CAMRY']", 1250000,  2350,Gasolina,2200 cc,Manual,Sedán,BLANCO,GRIS,Termina en 1,San José
2000,Daewoo,LANOS,5,"['Daewoo', 'LANOS']", 1250000,  2350,Gasolina,1500 cc,Manual,Sedán,PLATEADO,GRIS,Termina en 7,San José
1990,Toyota,TERCEL,5,"['Toyota', 'TERCEL']", 1299000,  2442,Gasolina,1500 cc,Manual,Sedán,AZUL,NEGRO,Termina en 8,San José
1997,Geo,METRO,2,"['Geo', 'METRO']", 1300000,  2444,Gasolina,1300 cc,Manual,Hatchback,VINO,GRIS,Termina en 3,San José
1997,Hyundai,TIBURON,5,"['Hyundai', 'TIBURON']", 1300000,  2444,Gasolina,1800 cc,Manual,Sedán,MORADO PERLADO,NEGRO,Termina en 2,Cartago
2003,Chevrolet,CAVALIER,5,"['Chevrolet', 'CAVALIER']", 1350000,  2538,Gasolina,2200 cc,Manual,Sedán,GRIS,GRIS,Termina en 8,San José
1998,Chevrolet,METRO,4,"['Chevrolet', 'METRO']", 1350000,  2538,Gasolina,1000 cc,Manual,Sedán,NEGRO,GRIS,Termina en 3,San José
1987,Toyota,COROLLA,5,"['Toyota', 'COROLLA']", 1350000,  2538,Gasolina,1600 cc,Manual,Sedán,BEIGE,NEGRO,Termina en 6,San José
2000,Dodge/RAM,NEON,5,"['Dodge/RAM', 'NEON']", 1400000,  2632,Gasolina,2000 cc,Manual,Sedán,BLANCO,GRIS,Termina en 3,San José
1986,Toyota,COROLLA,5,"['Toyota', 'COROLLA']", 1400000,  2632,Gasolina,1600 cc,Manual,Sedán,DORADO CHAMPÁN,GRIS,Termina en 6,San José
1995,Hyundai,AVANTE,5,"['Hyundai', 'AVANTE']", 1400000,  2632,Gasolina,1800 cc,Manual,Station Wagon,VERDE,GRIS,Termina en 2,Alajuela
1997,Geo,METRO,5,"['Geo', 'METRO']", 1400000,  2632,Gasolina,1300 cc,Manual,Sedán,ROJO,GRIS,Termina en 7,Alajuela
1994,Hyundai,ACCENT,5,"['Hyundai', 'ACCENT']", 1475000,  2773,Gasolina,1500 cc,Manual,Sedán,ROJO,GRIS,Termina en 0,San José
1994,Nissan,QUEST,7,"['Nissan', 'QUEST']", 1475000,  2773,Gasolina,3000 cc,Automática,Microbús/Minivan,AZUL,AZUL,Termina en 0,Cartago
1997,Mitsubishi,LANCER,5,"['Mitsubishi', 'LANCER']", 1500000,  2820,Gasolina,1300 cc,Manual,Sedán,AZUL,GRIS,Termina en 1,Heredia
1984,Volkswagen,SAVEIRO,2,"['Volkswagen', 'SAVEIRO']", 1500000,  2820,Gasolina,1600 cc,Manual,Pickup 4x2,NEGRO,NEGRO,Termina en 8,San José
1981,Mercedes Benz,280SE,5,"['Mercedes', 'Benz', '280SE']", 1500000,  2820,Gasolina,2800 cc,Automática,Sedán,VERDE,VINO,ND,Cartago
1970,Mercedes Benz,220,5,"['Mercedes', 'Benz', '220']", 1500000,  2820,Gasolina,2300 cc,Manual,Sedán,AZUL,BLANCO,Termina en 6,Cartago
1994,Geo,PRIZM,5,"['Geo', 'PRIZM']", 1500000,  2820,Gasolina,1600 cc,Manual,Sedán,BEIGE,GRIS,Termina en 1,San José
2000,Nissan,ALTIMA,5,"['Nissan', 'ALTIMA']", 1500000,  2820,Gasolina,2400 cc,Automática,Sedán,BLANCO,BEIGE,Termina en 2,Alajuela
1993,Toyota,TERCEL,5,"['Toyota', 'TERCEL']", 1500000,  2820,Gasolina,1500 cc,Manual,Sedán,AZUL,NEGRO,Termina en 5,San José
1984,Toyota,TERCEL,5,"['Toyota', 'TERCEL']", 1500000,  2820,Gasolina,1500 cc,Manual,Station Wagon,BEIS,GRIS NEGRO,Termina en 9,San José
1978,Datsun,120Y,5,"['Datsun', '120Y']", 1500000,  2820,Gasolina,1200 cc,Manual,Pánel,GRIS NARDO,NEGRO Y ROJO,Termina en 5,Limón
1996,Geo,METRO,5,"['Geo', 'METRO']", 1500000,  2820,Gasolina,1300 cc,Automática,Sedán,VERDE,GRIS,Termina en 9,Heredia
2003,Nissan,ALMERA,5,"['Nissan', 'ALMERA']", 1500000,  2820,Gasolina,1600 cc,Automática,Sedán,AZUL,GRIS,Termina en 2,Alajuela
1995,Toyota,TERCEL,5,"['Toyota', 'TERCEL']", 1550000,  2914,Gasolina,1500 cc,Manual,Sedán,GRIS,GRIS,Termina en 9,Alajuela
1994,Pontiac,SUNBIRD,4,"['Pontiac', 'SUNBIRD']", 1600000,  3008,Gasolina,2000 cc,Automática,Sedán,CELESTE,NEGRO,Termina en 6,San José
1990,Geo,TRACKER,4,"['Geo', 'TRACKER']", 1600000,  3008,Gasolina,1600 cc,Manual,Todo Terreno 4x4,CELESTE,GRIS,Termina en 2,Heredia
1992,Toyota,TERCEL,5,"['Toyota', 'TERCEL']", 1600000,  3008,Gasolina,1500 cc,Manual,Sedán,BLANCO,NEGRO,Termina en 5,Cartago
1997,Geo,METRO,5,"['Geo', 'METRO']", 1600000,  3008,Gasolina,1000 cc,Manual,Sedán,NEGRO,GRIS,Termina en 2,San José
1979,Toyota,COROLLA,5,"['Toyota', 'COROLLA']", 1600000,  3008,Gasolina,1500 cc,Manual,Sedán,ANARANJADO,NEGRO,Termina en 8,Heredia
1993,Ford,FESTIVA,5,"['Ford', 'FESTIVA']", 1600000,  3008,Gasolina,1300 cc,Manual,Hatchback,TURQUESA,GRIS,Termina en 9,Alajuela
1986,Isuzu,TROOPER II,5,"['Isuzu', 'TROOPER', 'II']", 1600000,  3008,Gasolina,2300 cc,Manual,Todo Terreno 4x4,AZUL,BEIGE,Termina en 4,Alajuela
1996,Nissan,SENTRA B14,5,"['Nissan', 'SENTRA', 'B14']", 1600000,  3008,Gasolina,1600 cc,Manual,Sedán,ROJO,CAFE,Termina en 9,Alajuela
1994,Geo,TRACKER,4,"['Geo', 'TRACKER']", 1650000,  3102,Gasolina,1600 cc,Manual,Todo Terreno 4x2,NEGRO,NEGRO,Termina en 4,San José
1996,Honda,CIVIC,5,"['Honda', 'CIVIC']", 1650000,  3102,Gasolina,1600 cc,Manual,Sedán,GRIS,GRIS,Termina en 8,San José
1997,Hyundai,TIBURON,5,"['Hyundai', 'TIBURON']", 1675000,  3148,Gasolina,1800 cc,Manual,Hatchback,ROJO,GRIS,Termina en 8,Alajuela
2000,Hyundai,ACCENT,5,"['Hyundai', 'ACCENT']", 1700000,  3195,Gasolina,1500 cc,Manual,Sedán,BLANCO,GRIS,Termina en 2,San José
1990,Volvo,760 TDI,5,"['Volvo', '760', 'TDI']", 1700000,  3195,Gasolina,2300 cc,Automática,Sedán,VINO,BEIGE,Termina en 7,San José
1993,Toyota,COROLLA,5,"['Toyota', 'COROLLA']", 1700000,  3195,Gasolina,1800 cc,Manual,Station Wagon,BLANCO,NEGRO,ND,Heredia
2003,Peugeot,206,5,"['Peugeot', '206']", 1700000,  3195,Gasolina,1400 cc,Manual,Sedán,AZUL,AZUL Y GRIS,Termina en 3,Alajuela
1998,Nissan,SENTRA,5,"['Nissan', 'SENTRA']", 1700000,  3195,Gasolina,1600 cc,Manual,Sedán,NEGRO,NEGRO,Termina en 2,Alajuela
2004,Volkswagen,GOL,5,"['Volkswagen', 'GOL']", 1700000,  3195,Gasolina,1800 cc,Manual,Hatchback,CHAMPAGNE,NEGRO,Termina en 0,San José
1993,Toyota,TERCEL,5,"['Toyota', 'TERCEL']", 1700000,  3195,Gasolina,1500 cc,Manual,Sedán,AZUL,GRIS,Termina en 0,San José
1999,Daihatsu,CUORE,5,"['Daihatsu', 'CUORE']", 1700000,  3195,Gasolina,1000 cc,Manual,Sedán,VERDE,GRIS,Termina en 0,San José
1995,Geo,PRIZM,5,"['Geo', 'PRIZM']", 1750000,  3289,Diesel,2000 cc,Manual,Sedán,ROJO,NEGRO,Termina en 7,Alajuela
1994,Geo,TRACKER,5,"['Geo', 'TRACKER']", 1750000,  3289,Gasolina,1600 cc,Manual,Todo Terreno 4x2,VERDE OSCURO,GRIS,Termina en 6,Alajuela
2006,Renault,MEGANE,5,"['Renault', 'MEGANE']", 1750000,  3289,Gasolina,2000 cc,Manual,Sedán,AZUL,NEDRO,Termina en 1,San José
1998,Mitsubishi,LANCER,5,"['Mitsubishi', 'LANCER']", 1800000,  3383,Gasolina,1600 cc,Manual,Sedán,VERDE,GRIS,Termina en 3,Cartago
1993,Toyota,COROLLA,5,"['Toyota', 'COROLLA']", 1800000,  3383,Gasolina,1600 cc,Automática,Sedán,DORADO,GRIS,Termina en 4,Cartago
2005,Fiat,FIORINO,2,"['Fiat', 'FIORINO']", 1800000,  3383,Gasolina,1300 cc,Manual,Pánel,BLANCO,GRIS,Termina en 7,San José
1995,Nissan,SENTRA,5,"['Nissan', 'SENTRA']", 1800000,  3383,Gasolina,1600 cc,Automática,Sedán,GRIS,GRIS,Termina en 4,Alajuela
2000,Suzuki,SWIFT,5,"['Suzuki', 'SWIFT']", 1800000,  3383,Gasolina,1300 cc,Manual,Hatchback,PLATEADO,GRIS,Termina en 4,Cartago
2000,Chevrolet,SPARK,5,"['Chevrolet', 'SPARK']", 1800000,  3383,Gasolina,800 cc,Manual,Sedán,CREMA,GRIS,Termina en 5,Cartago
2000,Nissan,SENTRA,5,"['Nissan', 'SENTRA']", 1800000,  3383,Gasolina,1800 cc,Manual,Sedán,VERDE,GRIS,Termina en 6,Alajuela
2000,Hyundai,ACCENT,5,"['Hyundai', 'ACCENT']", 1800000,  3383,Gasolina,1500 cc,Manual,Sedán,GRIS,GRIS,Termina en 0,San José
2006,Fiat,PALIO,5,"['Fiat', 'PALIO']", 1800000,  3383,Gasolina,1399 cc,Manual,Hatchback,BLANCO,NEGRO,Termina en 2,Heredia
1996,Honda,ACCORD,5,"['Honda', 'ACCORD']", 1800000,  3383,Gasolina,2200 cc,Automática,Sedán,VERDE,GRIS,Termina en 3,Alajuela
2007,Fiat,SIENA,5,"['Fiat', 'SIENA']", 1800000,  3383,Gasolina,1242 cc,Manual,Sedán,VERDE AGUA,GRIS,Termina en 6,Heredia
1990,Toyota,COROLLA,5,"['Toyota', 'COROLLA']", 1850000,  3477,Gasolina,1500 cc,Manual,Sedán,BLANCO,GRIS,Termina en 7,Alajuela
1999,Subaru,FORESTER,5,"['Subaru', 'FORESTER']", 1850000,  3477,Gasolina,2000 cc,Manual,Todo Terreno 4x4,GRIS,GRIS,Termina en 5,Guanacaste
1998,Nissan,SENTRA,5,"['Nissan', 'SENTRA']", 1850000,  3477,Gasolina,1600 cc,Automática,Sedán,VERDE,GRIS,Termina en 4,San José
1989,Isuzu,KB,2,"['Isuzu', 'KB']", 1899000,  3570,Gasolina,2300 cc,Manual,Pickup 4x2,BLANCO,CELESTE,Termina en 3,San José
1997,Mitsubishi,MIRAGE,5,"['Mitsubishi', 'MIRAGE']", 1900000,  3571,Gasolina,1800 cc,Manual,Sedán,BLANCO,BEIGE,Termina en 9,Cartago
2000,Chevrolet,SPARK,5,"['Chevrolet', 'SPARK']", 1900000,  3571,Gasolina,800 cc,Manual,Hatchback,MOSTAZA,NEGRO,Termina en 1,Alajuela
2002,Hyundai,ACCENT,5,"['Hyundai', 'ACCENT']", 1900000,  3571,Gasolina,1600 cc,Automática,Sedán,NEGRO,GRIS,Termina en 4,San José
1977,Toyota,COROLLA,5,"['Toyota', 'COROLLA']", 1900000,  3571,Gasolina,1200 cc,Manual,Sedán,NARANJA,NEGRO,Termina en 5,San José
1993,BMW,318I,5,"['BMW', '318I']", 1900000,  3571,Gasolina,1800 cc,Manual,Sedán,NEGRO,BEIGE,Termina en 3,Alajuela
1992,Toyota,TERCEL,5,"['Toyota', 'TERCEL']", 1900000,  3571,Gasolina,1500 cc,Manual,Sedán,CELESTE,NEGRO Y CELESTE,Termina en 9,Heredia
1996,Kia,SPORTAGE,5,"['Kia', 'SPORTAGE']", 1900000,  3571,Gasolina,2000 cc,Automática,Todo Terreno 4x4,DORADO,CAFÉ,Termina en 8,San José
2004,Citroen,BERLINGO,2,"['Citroen', 'BERLINGO']", 1900000,  3571,Gasolina,1900 cc,Manual,Pánel,BLANCO,NEGRO,Termina en 8,Heredia
1997,Honda,CIVIC,5,"['Honda', 'CIVIC']", 1900000,  3571,Gasolina,1600 cc,Manual,Sedán,ROJO,GRIS,Termina en 1,Cartago
2008,Jeep,CHEROKEE,5,"['Jeep', 'CHEROKEE']", 1908000,  3586,Diesel,2800 cc,Automática,Pickup 4x4,PLATEADO,NEGRO,Termina en 1,San José
1999,Hyundai,ACCENT,5,"['Hyundai', 'ACCENT']", 1950000,  3665,Gasolina,1500 cc,Manual,Sedán,CAFE,CAFE,Termina en 4,San José
1996,Toyota,TERCEL,5,"['Toyota', 'TERCEL']", 1950000,  3665,Gasolina,1500 cc,Manual,Sedán,GRIS,GRIS,Termina en 2,Heredia
2007,Chevrolet,SPARK,5,"['Chevrolet', 'SPARK']", 1990000,  3741,Gasolina,800 cc,Manual,Hatchback,NEGRO MATE,GRIS-NEGRO,Termina en 0,San José
1994,Jeep,GRAND CHEROKEE,5,"['Jeep', 'GRAND', 'CHEROKEE']", 1999999,  3759,Gasolina,4000 cc,Automática,Todo Terreno 4x4,AZUL,BEIGE,Termina en 4,Guanacaste
1996,Dodge/RAM,CARAVAN,7,"['Dodge/RAM', 'CARAVAN']", 2000000,  3759,Gasolina,3800 cc,Automática,Microbús/Minivan,BLANCO,BEIGE,Termina en 7,Limón
2004,Peugeot,206 BERLINA,5,"['Peugeot', '206', 'BERLINA']", 2000000,  3759,Gasolina,1600 cc,Manual,Hatchback,GRIS,NEGRO,Termina en 6,San José
1991,Buick,ROADSTER,5,"['Buick', 'ROADSTER']", 2000000,  3759,Gasolina,5000 cc,Automática,Station Wagon,ROJO VINO,Gris oscuro,Termina en 2,San José
1997,Mitsubishi,LANCER GL,5,"['Mitsubishi', 'LANCER', 'GL']", 2000000,  3759,Gasolina,1298 cc,Manual,Sedán,PLATEADO,GRIS,Termina en 2,Guanacaste
1995,BMW,318I,4,"['BMW', '318I']", 2000000,  3759,Gasolina,1800 cc,Manual,Sedán,VINO,BEIGE,Termina en 8,San José
2000,Chevrolet,BLAZER,5,"['Chevrolet', 'BLAZER']", 2000000,  3759,Gasolina,2400 cc,Automática,Todo Terreno 4x2,VERDE,CAFE,Termina en 4,San José
2004,Suzuki,FORENZA,5,"['Suzuki', 'FORENZA']", 2000000,  3759,Gasolina,2000 cc,Automática,Sedán,GRIS,NEGRO/GRIS,Termina en 8,Limón
1990,Subaru,E12,8,"['Subaru', 'E12']", 2000000,  3759,Gasolina,1189 cc,Manual,Microbús/Minivan,BLANCO,NEGRO,Termina en 0,San José
2000,Mazda,323,5,"['Mazda', '323']", 2000000,  3759,Gasolina,1600 cc,Manual,Sedán,VERDE,GRIS,Termina en 9,San José
1991,Toyota,COROLLA LE,5,"['Toyota', 'COROLLA', 'LE']", 2000000,  3759,Gasolina,1800 cc,Manual,Sedán,GRIS,GRIS,Termina en 7,San José
1991,Mazda,B2200,3,"['Mazda', 'B2200']", 2000000,  3759,Gasolina,2200 cc,Manual,Pickup 4x2,GRIS,GRIS,Termina en 3,Limón
2002,Renault,CLIO,5,"['Renault', 'CLIO']", 2000000,  3759,Gasolina,1400 cc,Manual,Sedán,AZUL,NEGRO,Termina en 4,Heredia
1981,Volkswagen,VANAGON GL,7,"['Volkswagen', 'VANAGON', 'GL']", 2000000,  3759,Gasolina,2000 cc,Manual,Station Wagon,VERDE,CAFÉ Y ROJO,Termina en 8,Heredia
2005,Nissan,SENTRA,5,"['Nissan', 'SENTRA']", 2000000,  3759,Gasolina,1800 cc,Manual,Sedán,NEGRO,BEIGE,Termina en 2,San José
2009,Chevrolet,SPARK,5,"['Chevrolet', 'SPARK']", 2000000,  3759,Gasolina,800 cc,Manual,Sedán,GRIS,NEGRO,Termina en 7,Puntarenas
2009,Chevrolet,CMV,2,"['Chevrolet', 'CMV']", 2100000,  3947,Gasolina,800 cc,Manual,Pánel,BLANCO,NEGRO,Termina en 4,Heredia
2002,Chevrolet,SPARK,5,"['Chevrolet', 'SPARK']", 2000000,  3759,Gasolina,800 cc,Manual,Sedán,ANARANJADO,BEIGE,Termina en 0,San José
1999,Geo,METRO,5,"['Geo', 'METRO']", 2000000,  3759,Gasolina,1000 cc,Manual,Hatchback,AZUL,GRIS/NEGRO,Termina en 3,Heredia
2000,Mitsubishi,MIRAGE,5,"['Mitsubishi', 'MIRAGE']", 2000000,  3759,Gasolina,1500 cc,Automática,Sedán,DORADO,NEGRO,Termina en 2,Cartago
1997,Dodge/RAM,CARAVAN,7,"['Dodge/RAM', 'CARAVAN']", 2000000,  3759,Gasolina,18000 cc,Automática,Microbús/Minivan,BLANCO,BEIGE,Termina en 4,San José
2001,Toyota,COROLLA,5,"['Toyota', 'COROLLA']", 2000000,  3759,Gasolina,1600 cc,Manual,Sedán,ROJO,BEIGE,Termina en 6,San José
1996,Nissan,SENTRA,5,"['Nissan', 'SENTRA']", 2000000,  3759,Gasolina,1600 cc,Manual,Sedán,BLANCO,GRIS OSCURO,Termina en 1,San José
1994,Toyota,COROLLA,5,"['Toyota', 'COROLLA']", 2090000,  3929,Gasolina,1800 cc,Manual,Sedán,PLATEADO,GRIS,Termina en 4,San José
1997,Ssang Yong,MUSSO,5,"['Ssang', 'Yong', 'MUSSO']", 2100000,  3947,Diesel,2900 cc,Manual,Todo Terreno 4x4,NEGRO,NEGRO,Termina en 5,San José
2000,Nissan,SENTRA,5,"['Nissan', 'SENTRA']", 2100000,  3947,Gasolina,1800 cc,Manual,Sedán,VERDE OSCURO,BEIGE CLARO,Termina en 8,Cartago
1991,Nissan,D21,2,"['Nissan', 'D21']", 2100000,  3947,Gasolina,2400 cc,Manual,Pickup 4x2,CELESTE,GRIS,Termina en 9,Alajuela
1999,Hyundai,ELANTRA,5,"['Hyundai', 'ELANTRA']", 2100000,  3947,Gasolina,1800 cc,Automática,Sedán,NEGRO,GRIS,Termina en 2,Alajuela
2006,Renault,MEGANE,5,"['Renault', 'MEGANE']", 2100000,  3947,Gasolina,1600 cc,Manual,Sedán,NEGRO,NEGRO,Termina en 6,San José
1995,Suzuki,SIDEKICK,5,"['Suzuki', 'SIDEKICK']", 2100000,  3947,Gasolina,1600 cc,Manual,Todo Terreno 4x4,GRIS CON NEGRO,GRIS,Termina en 8,Cartago
1996,BMW,318I,4,"['BMW', '318I']", 2100000,  3947,Gasolina,1800 cc,Manual,Sedán,VERDE,NEGRO,Termina en 2,San José
2000,Mitsubishi,MIRAGE,5,"['Mitsubishi', 'MIRAGE']", 2200000,  4135,Gasolina,1500 cc,Manual,Sedán,PLATA,NEGRO,Termina en 3,San José
2004,Peugeot,PARTNER,5,"['Peugeot', 'PARTNER']", 2100000,  3947,Diesel,1900 cc,Manual,Pánel,BLANCO,NEGRO,Termina en 5,Heredia
1998,Honda,CIVIC,5,"['Honda', 'CIVIC']", 2150000,  4041,Gasolina,1600 cc,Manual,Sedán,NEGRO,GRIS,Termina en 5,Cartago
2005,Honda,PILOT EX-L,2,"['Honda', 'PILOT', 'EX-L']", 2150000,  4041,Gasolina,3500 cc,Automática,Todo Terreno 4x4,NEGRO,GRIS,ND,Alajuela
1995,Geo,TRACKER,4,"['Geo', 'TRACKER']", 2150000,  4041,Gasolina,1600 cc,Manual,Todo Terreno 4x2,BLANCO,NEGRO,Termina en 8,San José
2000,Honda,ODYSSEY,7,"['Honda', 'ODYSSEY']", 2150000,  4041,Gasolina,3500 cc,Automática,Microbús/Minivan,DORADO,BEIGE,Termina en 0,Heredia
1995,Geo,TRACKER,5,"['Geo', 'TRACKER']", 2175000,  4088,Gasolina,1600 cc,Manual,Todo Terreno 4x4,CELESTE,GRIS,Termina en 4,Alajuela
2000,Mazda,323 GLX,5,"['Mazda', '323', 'GLX']", 2200000,  4135,Gasolina,1600 cc,Manual,Sedán,AZUL,GRIS,Termina en 5,San José
2002,Hyundai,ACCENT,5,"['Hyundai', 'ACCENT']", 2200000,  4135,Gasolina,1500 cc,Manual,Sedán,AZUL,NEGRO,Termina en 9,Alajuela
2001,Hyundai,TIBURON,5,"['Hyundai', 'TIBURON']", 2200000,  4135,Gasolina,2000 cc,Manual,Hatchback,AMARILLO,NEGRO,Termina en 7,San José
1995,Nissan,200SX,5,"['Nissan', '200SX']", 2200000,  4135,Gasolina,1600 cc,Manual,Sedán,ROJO,NEGRO/GRIS,Termina en 1,Alajuela
1998,Honda,CIVIC,5,"['Honda', 'CIVIC']", 2200000,  4135,Gasolina,1600 cc,Manual,Hatchback,NEGRO,NEGRO,Termina en 7,Alajuela
1995,Nissan,SENTRA B14,5,"['Nissan', 'SENTRA', 'B14']", 2200000,  4135,Gasolina,1600 cc,Manual,Sedán,AZUL,GRIS,Termina en 1,Limón
1993,Toyota,CORONA,5,"['Toyota', 'CORONA']", 2200000,  4135,Gasolina,1600 cc,Manual,Sedán,DORADO,Negro con gris,Termina en 2,San José
2000,Hyundai,ACCENT VERNA,5,"['Hyundai', 'ACCENT', 'VERNA']", 2200000,  4135,Gasolina,1600 cc,Manual,Sedán,GRIS,GRIS,Termina en 3,Puntarenas
2008,Citroen,C3,5,"['Citroen', 'C3']", 2250000,  4229,Gasolina,1398 cc,Manual,Hatchback,AZUL,GRIS OSCURO,Termina en 2,San José
1998,Honda,CIVIC,5,"['Honda', 'CIVIC']", 2200000,  4135,Gasolina,1600 cc,Manual,Sedán,VERDE PERLADO,CAFÉ,Termina en 6,Cartago
2001,Mazda,323,5,"['Mazda', '323']", 2200000,  4135,Gasolina,1600 cc,Manual,Sedán,CHAMPAGNE,GRIS,Termina en 9,Cartago
1996,Geo,TRACKER,4,"['Geo', 'TRACKER']", 2200000,  4135,Gasolina,1600 cc,Manual,Todo Terreno 4x4,VERDE,GRIS,Termina en 5,Guanacaste
2008,Daihatsu,SIRION,5,"['Daihatsu', 'SIRION']", 2200000,  4135,Gasolina,1298 cc,Manual,Hatchback,PLATEADO,NEGRO,Termina en 0,Cartago
2002,Hyundai,ACCENT,5,"['Hyundai', 'ACCENT']", 2200000,  4135,Gasolina,1600 cc,Automática,Sedán,NEGRO,GRIS,Termina en 3,Heredia
1994,Toyota,COROLLA,5,"['Toyota', 'COROLLA']", 2200000,  4135,Gasolina,1600 cc,Manual,Sedán,VERDE OSCURO,GRIS,Termina en 1,San José
2001,Nissan,SENTRA,5,"['Nissan', 'SENTRA']", 2200000,  4135,Gasolina,1800 cc,Manual,Sedán,BLANCO,GRIS,Termina en 6,San José
2002,Hyundai,ELANTRA,5,"['Hyundai', 'ELANTRA']", 2250000,  4229,Gasolina,2000 cc,Automática,Sedán,BLANCO,BEIGE,Termina en 3,Cartago
