year,marca,modelo,pasajeros,descripcion,precio,preciodolar,Combustible:,Cilindrada:,Transmisión:,Estilo:,Color Exterior:,Color Interior:,Placa:,Provincia:
2011,Jaguar,XF,5,"['Jaguar', 'XF']", 6750000, 12688,Gasolina,3000 cc,Automática,Sedán,GRIS,NEGRO,Termina en 1,San José
2016,Suzuki,JIMNY,4,"['Suzuki', 'JIMNY']", 6750000, 12688,Gasolina,1300 cc,Manual,Todo Terreno 4x4,GRIS,GRIS,Termina en 9,San José
2013,Nissan,QASHQAI,5,"['Nissan', 'QASHQAI']", 6750000, 12688,Gasolina,2000 cc,Automática,Todo Terreno 4x2,DORADO,NEGRO,Termina en 5,Alajuela
2009,Toyota,RAV4,5,"['Toyota', 'RAV4']", 6790000, 12763,Gasolina,2400 cc,Automática,Todo Terreno 4x4,NEGRO,GRIS,Termina en 9,Heredia
2007,Ford,EDGE,5,"['Ford', 'EDGE']", 6750000, 12688,Gasolina,3500 cc,Automática,Todo Terreno 4x2,VINO,BEIGE,Termina en 4,Cartago
2016,Nissan,SENTRA,5,"['Nissan', 'SENTRA']", 6750000, 12688,Gasolina,1800 cc,Automática,Sedán,GRIS,NEGRO,Termina en 9,Alajuela
2012,Kia,SPORTAGE,5,"['Kia', 'SPORTAGE']", 6750000, 12688,Gasolina,2000 cc,Manual,Todo Terreno 4x2,BRONCE,NEGRO,Termina en 6,Heredia
2015,Hyundai,ELANTRA,5,"['Hyundai', 'ELANTRA']", 6750000, 12688,Gasolina,1800 cc,Manual,Sedán,NEGRO,BEIGE,ND,Heredia
2006,Audi,A6,5,"['Audi', 'A6']", 6750000, 12688,Gasolina,3000 cc,Automática,Sedán,GRIS,NEGRO / CUERO,Termina en 2,San José
2015,Chevrolet,TRAX LTZ,5,"['Chevrolet', 'TRAX', 'LTZ']", 6750000, 12688,Gasolina,1800 cc,Automática,Todo Terreno 4x2,AZUL,NEGRO,Termina en 9,Heredia
2019,Hyundai,GRAND I10,5,"['Hyundai', 'GRAND', 'I10']", 6750000, 12688,Gasolina,1200 cc,Manual,Sedán,NEGRO,NEGRO,Termina en 8,Cartago
2019,Mitsubishi,MIRAGE G4,5,"['Mitsubishi', 'MIRAGE', 'G4']", 6750000, 12688,Gasolina,1200 cc,Manual,Sedán,VINO,NEGRO,Termina en 1,Cartago
2012,Nissan,QASHQAI,5,"['Nissan', 'QASHQAI']", 6799000, 12780,Gasolina,1600 cc,Automática,Todo Terreno 4x2,PLATEADO,NEGRO,Termina en 2,Heredia
2011,Hyundai,H1,10,"['Hyundai', 'H1']", 6800000, 12782,Diesel,2500 cc,Manual,Microbús/Minivan,ROJO,BEIGE,Termina en 6,Heredia
2010,Hyundai,TUCSON,5,"['Hyundai', 'TUCSON']", 6800000, 12782,Diesel,2000 cc,Automática,Todo Terreno 4x2,GRIS,NEGRO,Termina en 1,Alajuela
2005,Hyundai,TERRACAN JX 290,7,"['Hyundai', 'TERRACAN', 'JX', '290']", 6800000, 12782,Diesel,2900 cc,Automática,Todo Terreno 4x4,GRIS,GRIS,ND,Alajuela
2015,Nissan,SENTRA,5,"['Nissan', 'SENTRA']", 6800000, 12782,Gasolina,1800 cc,Automática,Sedán,BLANCO,GRIS OSCURO,Termina en 1,Alajuela
2013,Chevrolet,TRAX LT,5,"['Chevrolet', 'TRAX', 'LT']", 6800000, 12782,Gasolina,1800 cc,Automática,Sedán,VINO,GRIS CON NEGRO,Termina en 8,Heredia
